0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,match_id,home_team,away_team,home_score,away_score,home_formation,away_formation
Kasper Schmeichel,Jonny Evans,Wesley Fofana,Daniel Amartey,Youri Tielemans,Ayoze Pérez,Timothy Castagne,Wilfred Ndidi,Marc Albrighton,Jamie Vardy,Kelechi Iheanacho,Danny Ward,Luke Thomas,Vontae Daley-Campbell,Ricardo Pereira,Dennis Praet,James Maddison,Nampalys Mendy,Thanawat Suengchitthawon,Hamza Choudhury,Ederson,Benjamin Mendy,Kyle Walker,Rúben Dias,Aymeric Laporte,Fernandinho,Rodri,Gabriel Jesus,Riyad Mahrez,Kevin De Bruyne,Sergio Agüero,Scott Carson,João Cancelo,John Stones,Nathan Aké,Phil Foden,Bernardo Silva,Ilkay Gündogan,Raheem Sterling,Ferran Torres,59191,Leicester City,Manchester City,0,2,3-5-2,4-2-3-1
Dean Henderson,Luke Shaw,Victor Lindelöf,Harry Maguire,Aaron Wan-Bissaka,Marcus Rashford,Paul Pogba,Fred,Bruno Fernandes,Mason Greenwood,Edinson Cavani,David de Gea,Lee Grant,Axel Tuanzebe,Brandon Williams,Nemanja Matic,Daniel James,Donny van de Beek,Scott McTominay,Amad Diallo,Robert Sánchez,Joël Veltman,Benjamin White,Lewis Dunk,Jakub Moder,Pascal Groß,Yves Bissouma,Adam Lallana,Danny Welbeck,Neal Maupay,Leandro Trossard,Jason Steele,Michal Karbownik,Alexis Mac Allister,Steven Alzate,Moisés Caicedo,Davy Pröpper,José Izquierdo,Andi Zeqiri,Alireza Jahanbakhsh,59192,Manchester United,Brighton and Hove Albion,2,1,4-2-3-1,3-4-1-2
Martin Dúbravka,Jacob Murphy,Paul Dummett,Emil Krafth,Jamaal Lascelles,Matt Ritchie,Sean Longstaff,Miguel Almirón,Jonjo Shelvey,Dwight Gayle,Joelinton,Karl Darlow,Javier Manquillo,Jamal Lewis,Ciaran Clark,Joseph Willock,Jeff Hendrick,Matthew Longstaff,Elliot Anderson,Allan Saint-Maximin,Hugo Lloris,Davinson Sánchez,Japhet Tanganga,Joe Rodon,Sergio Reguilón,Lucas Moura,Tanguy Ndombele,Pierre-Emile Højbjerg,Giovani Lo Celso,Harry Kane,Carlos Vinícius,Joe Hart,Eric Dier,Dele Alli,Erik Lamela,Harry Winks,Moussa Sissoko,Son Heung-Min,Gareth Bale,Dane Scarlett,59193,Newcastle United,Tottenham Hotspur,2,2,5-3-2,4-4-2
Fraser Forster,Ryan Bertrand,Jannik Vestergaard,Kyle Walker-Peters,Jan Bednarek,Stuart Armstrong,Ibrahima Diallo,James Ward-Prowse,Theo Walcott,Nathan Redmond,Danny Ings,Alex McCarthy,Jack Stephens,Mohammed Salisu,Alexandre Jankewitz,Moussa Djenepo,Nathan Tella,Will Ferry,Takumi Minamino,Che Adams,Nick Pope,Erik Pieters,James Tarkowski,Matthew Lowton,Ben Mee,Ashley Westwood,Dwight McNeil,Josh Brownhill,Jóhann Gudmundsson,Chris Wood,Matej Vydra,Bailey Peacock-Farrell,Anthony Driscoll-Glennon,Charlie Taylor,Jimmy Dunne,Richard Nartey,Lewis Richardson,Jack Cork,Dale Stephens,Jay Rodriguez,59194,Southampton,Burnley,3,2,4-4-2,4-4-2
Rui Patrício,Nélson Semedo,Rayan Aït-Nouri,Conor Coady,Romain Saïss,Pedro Neto,Leander Dendoncker,Adama Traoré,Daniel Podence,Rúben Neves,Willian José,John Ruddy,Lewis Richards,Ki-Jana Hoever,Christian Marques,Maximilian Kilman,Owen Otasowie,Morgan Gibbs-White,Vitinha,Fábio Silva,Lukasz Fabianski,Issa Diop,Aaron Cresswell,Vladimir Coufal,Craig Dawson,Jesse Lingard,Pablo Fornals,Arthur Masuaku,Mark Noble,Tomas Soucek,Michail Antonio,Nathan Trott,David Martin,Ben Johnson,Frederik Alves,Ryan Fredericks,Fabián Balbuena,Jarrod Bowen,Saïd Benrahma,Ademipo Odubeko,59195,Wolverhampton Wanderers,West Ham United,2,3,4-2-3-1,4-2-3-1
Robert Sánchez,Joël Veltman,Benjamin White,Lewis Dunk,Jakub Moder,Adam Lallana,Pascal Groß,Yves Bissouma,Danny Welbeck,Neal Maupay,Leandro Trossard,Jason Steele,Dan Burn,Adam Webster,Alexis Mac Allister,Steven Alzate,Davy Pröpper,Alireza Jahanbakhsh,José Izquierdo,Andi Zeqiri,Robin Olsen,Ben Godfrey,Lucas Digne,Yerry Mina,Michael Keane,Séamus Coleman,Mason Holgate,Tom Davies,Gylfi Sigurdsson,James Rodríguez,Richarlison,Harry Tyrer,João Virgínia,Reece Welch,Kyle John,Niels Nkounkou,Nathan Broadhead,Isaac Price,Alex Iwobi,Buffer,59196,Brighton and Hove Albion,Everton,0,0,3-4-2-1,5-3-2
Bailey Peacock-Farrell,Ben Mee,Erik Pieters,James Tarkowski,Matthew Lowton,Jóhann Gudmundsson,Dwight McNeil,Josh Brownhill,Ashley Westwood,Chris Wood,Matej Vydra,Will Norris,Phil Bardsley,Jimmy Dunne,Richard Nartey,Charlie Taylor,Lewis Richardson,Jack Cork,Dale Stephens,Joel Mumbongo,Martin Dúbravka,Paul Dummett,Jacob Murphy,Federico Fernández,Matt Ritchie,Ciaran Clark,Jonjo Shelvey,Sean Longstaff,Miguel Almirón,Joelinton,Dwight Gayle,Karl Darlow,Emil Krafth,Javier Manquillo,Jamal Lewis,Joseph Willock,Jeff Hendrick,Allan Saint-Maximin,Callum Wilson,Andy Carroll,59197,Burnley,Newcastle United,1,2,4-4-2,5-3-2
Vicente Guaita,Gary Cahill,Joel Ward,Patrick van Aanholt,Cheikhou Kouyaté,Jordan Ayew,Jairo Riedewald,Eberechi Eze,Luka Milivojevic,Christian Benteke,Wilfried Zaha,Jack Butland,Tyrick Mitchell,Scott Dann,Martin Kelly,James McCarthy,Jesurun Rak-Sakyi,Andros Townsend,Jeffrey Schlupp,Jean-Philippe Mateta,Édouard Mendy,César Azpilicueta,Antonio Rüdiger,Kurt Zouma,Mateo Kovacic,Ben Chilwell,Jorginho,Callum Hudson-Odoi,Kai Havertz,Christian Pulisic,Mason Mount,Kepa Arrizabalaga,Marcos Alonso,Reece James,Emerson,Hakim Ziyech,N'Golo Kanté,Tammy Abraham,Timo Werner,Olivier Giroud,59198,Crystal Palace,Chelsea,1,4,4-4-2,3-4-2-1
Alphonse Areola,Ola Aina,Joachim Andersen,Terence Kongolo,Mario Lemina,Harrison Reed,Antonee Robinson,Kenny Tete,Bobby De Cordova-Reid,Aleksandar Mitrovic,Ruben Loftus-Cheek,Fabri,Tosin Adarabioyo,Michael Hector,Tim Ream,Joe Bryan,André-Frank Zambo Anguissa,Josh Onomah,Josh Maja,Ivan Cavaleiro,Rui Patrício,Rayan Aït-Nouri,Nélson Semedo,Romain Saïss,Conor Coady,Adama Traoré,Pedro Neto,Rúben Neves,Leander Dendoncker,Daniel Podence,Willian José,John Ruddy,Lewis Richards,Maximilian Kilman,Ki-Jana Hoever,Owen Otasowie,Vitinha,Morgan Gibbs-White,João Moutinho,Fábio Silva,59199,Fulham,Wolverhampton Wanderers,0,1,3-4-2-1,4-2-3-1
Alisson,Andrew Robertson,Nathaniel Phillips,Ozan Kabak,Trent Alexander-Arnold,James Milner,Fabinho,Georginio Wijnaldum,Mohamed Salah,Roberto Firmino,Diogo Jota,Adrián,Konstantinos Tsimikas,Rhys Williams,Ben Davies,Xherdan Shaqiri,Thiago,Alex Oxlade-Chamberlain,Naby Keïta,Sadio Mané,Emiliano Martínez,Matt Targett,Ezri Konsa,Tyrone Mings,Matthew Cash,John McGinn,Douglas Luiz,Marvelous Nakamba,Trézéguet,Bertrand Traoré,Ollie Watkins,Tom Heaton,Ahmed El Mohamady,Björn Engels,Neil Taylor,Kortney Hause,Anwar El Ghazi,Jacob Ramsey,Ross Barkley,Keinan Davis,59200,Liverpool,Aston Villa,2,1,4-3-3,4-3-3
Ederson,João Cancelo,Nathan Aké,Benjamin Mendy,John Stones,Fernandinho,Bernardo Silva,Oleksandr Zinchenko,Ferran Torres,Gabriel Jesus,Raheem Sterling,Zack Steffen,Rúben Dias,Eric García,Kyle Walker,Ilkay Gündogan,Rodri,Kevin De Bruyne,Phil Foden,Riyad Mahrez,Illan Meslier,Luke Ayling,Liam Cooper,Ezgjan Alioski,Diego Llorente,Kalvin Phillips,Stuart Dallas,Raphinha,Tyler Roberts,Hélder Costa,Patrick Bamford,Kiko Casilla,Pascal Struijk,Robin Koch,Gaetano Berardi,Jamie Shackleton,Pablo Hernández,Mateusz Klich,Joe Gelhardt,Ian Poveda-Ocampo,59201,Manchester City,Leeds United,1,2,4-3-3,4-1-4-1
Aaron Ramsdale,Ethan Ampadu,John Egan,Enda Stevens,Ben Osborn,George Baldock,Oliver Norwood,John Lundstram,John Fleck,Oliver Burke,David McGoldrick,Wes Foderingham,Jayden Bogle,Kean Bryan,Phil Jagielka,Max Lowe,Iliman Ndiaye,Oliver McBurnie,Rhian Brewster,Lys Mousset,Bernd Leno,Pablo Marí,Granit Xhaka,Calum Chambers,Rob Holding,Thomas Partey,Gabriel Martinelli,Dani Ceballos,Bukayo Saka,Nicolas Pépé,Alexandre Lacazette,Mat Ryan,Héctor Bellerín,Gabriel Magalhães,Cédric Soares,Mohamed Elneny,Miguel Azeez,Willian,Reiss Nelson,Eddie Nketiah,59202,Sheffield United,Arsenal,0,3,3-5-2,4-2-3-1
Hugo Lloris,Serge Aurier,Joe Rodon,Eric Dier,Sergio Reguilón,Giovani Lo Celso,Tanguy Ndombele,Pierre-Emile Højbjerg,Harry Kane,Son Heung-Min,Lucas Moura,Joe Hart,Toby Alderweireld,Japhet Tanganga,Dele Alli,Erik Lamela,Harry Winks,Moussa Sissoko,Gareth Bale,Carlos Vinícius,Dean Henderson,Luke Shaw,Victor Lindelöf,Aaron Wan-Bissaka,Harry Maguire,Paul Pogba,Scott McTominay,Marcus Rashford,Bruno Fernandes,Fred,Edinson Cavani,David de Gea,Brandon Williams,Axel Tuanzebe,Alex Telles,Donny van de Beek,Nemanja Matic,Juan Mata,Mason Greenwood,Amad Diallo,59203,Tottenham Hotspur,Manchester United,1,3,4-3-3,4-2-3-1
Sam Johnstone,Conor Townsend,Darnell Furlong,Dara O'Shea,Kyle Bartley,Matt Phillips,Callum Robinson,Ainsley Maitland-Niles,Okay Yokuslu,Matheus Pereira,Mbaye Diagne,David Button,Semi Ajayi,Kieran Gibbs,Lee Peltier,Jake Livermore,Conor Gallagher,Grady Diangana,Karlan Grant,Hal Robson-Kanu,Fraser Forster,Kyle Walker-Peters,Jannik Vestergaard,Ryan Bertrand,Jan Bednarek,James Ward-Prowse,Theo Walcott,Stuart Armstrong,Ibrahima Diallo,Nathan Redmond,Danny Ings,Alex McCarthy,Jack Stephens,Mohammed Salisu,Moussa Djenepo,Alexandre Jankewitz,Nathan Tella,Will Ferry,Takumi Minamino,Che Adams,59204,West Bromwich Albion,Southampton,3,0,4-4-1-1,4-4-2
Lukasz Fabianski,Aaron Cresswell,Craig Dawson,Issa Diop,Vladimir Coufal,Tomas Soucek,Arthur Masuaku,Mark Noble,Pablo Fornals,Jarrod Bowen,Jesse Lingard,Nathan Trott,David Martin,Ryan Fredericks,Frederik Alves,Fabián Balbuena,Ben Johnson,Conor Coventry,Saïd Benrahma,Ademipo Odubeko,Kasper Schmeichel,Daniel Amartey,Jonny Evans,Wesley Fofana,Youri Tielemans,Ricardo Pereira,Timothy Castagne,Dennis Praet,Wilfred Ndidi,Jamie Vardy,Kelechi Iheanacho,Danny Ward,Vontae Daley-Campbell,Luke Thomas,Christian Fuchs,Sidnei Tavares,Marc Albrighton,Thakgalo Leshabela,Nampalys Mendy,Thanawat Suengchitthawon,59205,West Ham United,Leicester City,3,2,3-4-1-2,3-5-2
Mat Ryan,Rob Holding,Héctor Bellerín,Gabriel Magalhães,Granit Xhaka,Emile Smith Rowe,Dani Ceballos,Bukayo Saka,Mohamed Elneny,Gabriel Martinelli,Alexandre Lacazette,Bernd Leno,Calum Chambers,Cédric Soares,Pablo Marí,Thomas Partey,Reiss Nelson,Nicolas Pépé,Eddie Nketiah,Willian,Alphonse Areola,Antonee Robinson,Ola Aina,Joachim Andersen,Tosin Adarabioyo,Bobby De Cordova-Reid,André-Frank Zambo Anguissa,Ademola Lookman,Mario Lemina,Ivan Cavaleiro,Josh Maja,Fabri,Tim Ream,Denis Odoi,Joe Bryan,Michael Hector,Ruben Loftus-Cheek,Josh Onomah,Harrison Reed,Aleksandar Mitrovic,59206,Arsenal,Fulham,1,1,4-2-3-1,4-4-2
Emiliano Martínez,Tyrone Mings,Ezri Konsa,Matt Targett,Matthew Cash,John McGinn,Jacob Ramsey,Douglas Luiz,Bertrand Traoré,Marvelous Nakamba,Ollie Watkins,Tom Heaton,Neil Taylor,Ahmed El Mohamady,Björn Engels,Kortney Hause,Carney Chukwuemeka,Anwar El Ghazi,Ross Barkley,Keinan Davis,Ederson,Oleksandr Zinchenko,Rúben Dias,Kyle Walker,John Stones,Bernardo Silva,Ilkay Gündogan,Rodri,Gabriel Jesus,Riyad Mahrez,Phil Foden,Zack Steffen,Nathan Aké,João Cancelo,Aymeric Laporte,Benjamin Mendy,Eric García,Fernandinho,Ferran Torres,Raheem Sterling,59207,Aston Villa,Manchester City,1,2,4-1-4-1,4-3-3
Kepa Arrizabalaga,Andreas Christensen,Antonio Rüdiger,Kurt Zouma,Mason Mount,Reece James,Marcos Alonso,Jorginho,Hakim Ziyech,Christian Pulisic,Kai Havertz,Édouard Mendy,Emerson,César Azpilicueta,Ben Chilwell,N'Golo Kanté,Billy Gilmour,Callum Hudson-Odoi,Olivier Giroud,Timo Werner,Robert Sánchez,Adam Webster,Lewis Dunk,Benjamin White,Alexis Mac Allister,Joël Veltman,Yves Bissouma,Dan Burn,Pascal Groß,Leandro Trossard,Danny Welbeck,Jason Steele,Adam Lallana,Davy Pröpper,Steven Alzate,Jakub Moder,José Izquierdo,Alireza Jahanbakhsh,Neal Maupay,Andi Zeqiri,59208,Chelsea,Brighton and Hove Albion,0,0,3-4-3,3-1-4-2
Jordan Pickford,Mason Holgate,Michael Keane,Ben Godfrey,Lucas Digne,Allan,Gylfi Sigurdsson,Tom Davies,Alex Iwobi,James Rodríguez,Richarlison,João Virgínia,Robin Olsen,Niels Nkounkou,Reece Welch,Kyle John,Séamus Coleman,Isaac Price,Nathan Broadhead,Joshua King,Hugo Lloris,Toby Alderweireld,Joe Rodon,Eric Dier,Sergio Reguilón,Pierre-Emile Højbjerg,Serge Aurier,Moussa Sissoko,Tanguy Ndombele,Son Heung-Min,Harry Kane,Joe Hart,Davinson Sánchez,Japhet Tanganga,Dele Alli,Giovani Lo Celso,Erik Lamela,Harry Winks,Gareth Bale,Lucas Moura,59209,Everton,Tottenham Hotspur,2,2,4-4-2,3-4-1-2
Illan Meslier,Pascal Struijk,Ezgjan Alioski,Luke Ayling,Diego Llorente,Kalvin Phillips,Jack Harrison,Tyler Roberts,Hélder Costa,Stuart Dallas,Patrick Bamford,Kiko Casilla,Gaetano Berardi,Leif Davis,Robin Koch,Pablo Hernández,Mateusz Klich,Jamie Shackleton,Joe Gelhardt,Ian Poveda-Ocampo,Alisson,Ozan Kabak,Trent Alexander-Arnold,Fabinho,Andrew Robertson,Georginio Wijnaldum,Thiago,James Milner,Diogo Jota,Sadio Mané,Roberto Firmino,Adrián,Konstantinos Tsimikas,Ben Davies,Neco Williams,Rhys Williams,Alex Oxlade-Chamberlain,Xherdan Shaqiri,Naby Keïta,Mohamed Salah,59210,Leeds United,Liverpool,1,1,4-1-4-1,4-3-3
Kasper Schmeichel,Wesley Fofana,Çaglar Söyüncü,Jonny Evans,Wilfred Ndidi,Luke Thomas,Timothy Castagne,Youri Tielemans,Jamie Vardy,James Maddison,Kelechi Iheanacho,Danny Ward,Ricardo Pereira,Daniel Amartey,Cengiz Ünder,Dennis Praet,Nampalys Mendy,Marc Albrighton,Hamza Choudhury,Ayoze Pérez,Sam Johnstone,Dara O'Shea,Kyle Bartley,Conor Townsend,Darnell Furlong,Okay Yokuslu,Matt Phillips,Ainsley Maitland-Niles,Callum Robinson,Matheus Pereira,Mbaye Diagne,David Button,Semi Ajayi,Lee Peltier,Conor Gallagher,Jake Livermore,Grady Diangana,Romaine Sawyers,Hal Robson-Kanu,Karlan Grant,59211,Leicester City,West Bromwich Albion,3,0,3-4-1-2,4-4-1-1
Dean Henderson,Aaron Wan-Bissaka,Harry Maguire,Victor Lindelöf,Luke Shaw,Bruno Fernandes,Mason Greenwood,Scott McTominay,Paul Pogba,Fred,Marcus Rashford,David de Gea,Brandon Williams,Alex Telles,Axel Tuanzebe,Daniel James,Juan Mata,Donny van de Beek,Nemanja Matic,Edinson Cavani,Bailey Peacock-Farrell,Matthew Lowton,Ben Mee,James Tarkowski,Charlie Taylor,Ashley Westwood,Jack Cork,Dwight McNeil,Jóhann Gudmundsson,Chris Wood,Josh Brownhill,Will Norris,Jimmy Dunne,Richard Nartey,Erik Pieters,Phil Bardsley,Lewis Richardson,Dale Stephens,Jay Rodriguez,Matej Vydra,59212,Manchester United,Burnley,3,1,4-2-3-1,4-4-1-1
Martin Dúbravka,Paul Dummett,Jacob Murphy,Matt Ritchie,Ciaran Clark,Federico Fernández,Jonjo Shelvey,Sean Longstaff,Miguel Almirón,Joelinton,Allan Saint-Maximin,Mark Gillespie,Jamal Lewis,Emil Krafth,Javier Manquillo,Jeff Hendrick,Joseph Willock,Callum Wilson,Dwight Gayle,Andy Carroll,Lukasz Fabianski,Issa Diop,Craig Dawson,Angelo Ogbonna,Tomas Soucek,Mark Noble,Ben Johnson,Vladimir Coufal,Jarrod Bowen,Jesse Lingard,Pablo Fornals,David Martin,Nathan Trott,Ryan Fredericks,Fabián Balbuena,Frederik Alves,Manuel Lanzini,Conor Coventry,Andriy Yarmolenko,Saïd Benrahma,59213,Newcastle United,West Ham United,3,2,5-3-2,3-4-1-2
Fraser Forster,Kyle Walker-Peters,Jan Bednarek,Jannik Vestergaard,Jack Stephens,Takumi Minamino,Stuart Armstrong,James Ward-Prowse,Nathan Redmond,Danny Ings,Che Adams,Alex McCarthy,Mohammed Salisu,Nathan Tella,Ibrahima Diallo,Moussa Djenepo,Will Ferry,Michael Obafemi,Theo Walcott,Daniel N'Lundulu,Vicente Guaita,Cheikhou Kouyaté,Joel Ward,Tyrick Mitchell,Scott Dann,Eberechi Eze,Jairo Riedewald,Luka Milivojevic,Wilfried Zaha,Jordan Ayew,Christian Benteke,Jack Butland,Martin Kelly,Patrick van Aanholt,Gary Cahill,James McCarthy,Jeffrey Schlupp,Andros Townsend,Michy Batshuayi,Jean-Philippe Mateta,59214,Southampton,Crystal Palace,3,1,4-4-2,4-3-3
Rui Patrício,Conor Coady,Willy Boly,Romain Saïss,Leander Dendoncker,João Moutinho,Nélson Semedo,Rayan Aït-Nouri,Willian José,Daniel Podence,Adama Traoré,John Ruddy,Ki-Jana Hoever,Maximilian Kilman,Lewis Richards,Vitinha,Morgan Gibbs-White,Owen Otasowie,Fábio Silva,Theo Corbeanu,Aaron Ramsdale,Ethan Ampadu,John Egan,Kean Bryan,Oliver Norwood,George Baldock,John Fleck,Enda Stevens,David McGoldrick,Rhian Brewster,Ben Osborn,Wes Foderingham,Jayden Bogle,Max Lowe,Kyron Gordon,Phil Jagielka,Oliver Burke,John Lundstram,Zak Brunt,Lys Mousset,59215,Wolverhampton Wanderers,Sheffield United,1,0,3-4-2-1,3-4-2-1
Bernd Leno,Rob Holding,Granit Xhaka,Pablo Marí,Calum Chambers,Emile Smith Rowe,Dani Ceballos,Nicolas Pépé,Bukayo Saka,Thomas Partey,Eddie Nketiah,Mat Ryan,Héctor Bellerín,Cédric Soares,Gabriel Magalhães,Mohamed Elneny,Martin Ødegaard,Willian,Reiss Nelson,Gabriel Martinelli,Jordan Pickford,Séamus Coleman,Lucas Digne,Mason Holgate,Ben Godfrey,James Rodríguez,Allan,André Gomes,Gylfi Sigurdsson,Richarlison,Dominic Calvert-Lewin,Robin Olsen,Niels Nkounkou,Yerry Mina,Nathan Broadhead,Tom Davies,Fabian Delph,Alex Iwobi,Joshua King,Bernard,59216,Arsenal,Everton,0,1,4-2-3-1,4-2-3-1
Emiliano Martínez,Matt Targett,Ezri Konsa,Tyrone Mings,Ahmed El Mohamady,John McGinn,Ross Barkley,Anwar El Ghazi,Douglas Luiz,Bertrand Traoré,Ollie Watkins,Tom Heaton,Kortney Hause,Neil Taylor,Björn Engels,Jacob Ramsey,Marvelous Nakamba,Jaden Philogene-Bidace,Keinan Davis,Wesley,Sam Johnstone,Semi Ajayi,Kyle Bartley,Darnell Furlong,Conor Townsend,Okay Yokuslu,Conor Gallagher,Callum Robinson,Matheus Pereira,Ainsley Maitland-Niles,Mbaye Diagne,David Button,Lee Peltier,Dara O'Shea,Matt Phillips,Jake Livermore,Romaine Sawyers,Grady Diangana,Hal Robson-Kanu,Karlan Grant,59217,Aston Villa,West Bromwich Albion,2,2,4-2-3-1,4-1-4-1
Alphonse Areola,Tosin Adarabioyo,Joachim Andersen,Ola Aina,Antonee Robinson,Mario Lemina,Harrison Reed,Ruben Loftus-Cheek,Ivan Cavaleiro,Ademola Lookman,Josh Maja,Fabri,Terence Kongolo,Tim Ream,Joe Bryan,Kenny Tete,Josh Onomah,André-Frank Zambo Anguissa,Bobby De Cordova-Reid,Aleksandar Mitrovic,Hugo Lloris,Davinson Sánchez,Matt Doherty,Toby Alderweireld,Ben Davies,Son Heung-Min,Tanguy Ndombele,Dele Alli,Gareth Bale,Pierre-Emile Højbjerg,Harry Kane,Joe Hart,Japhet Tanganga,Sergio Reguilón,Moussa Sissoko,Erik Lamela,Eric Dier,Harry Winks,Carlos Vinícius,Lucas Moura,59218,Fulham,Tottenham Hotspur,0,1,4-4-2,4-2-3-1
Illan Meslier,Ezgjan Alioski,Diego Llorente,Luke Ayling,Pascal Struijk,Kalvin Phillips,Tyler Roberts,Jack Harrison,Stuart Dallas,Hélder Costa,Patrick Bamford,Kiko Casilla,Gaetano Berardi,Robin Koch,Jamie Shackleton,Pablo Hernández,Mateusz Klich,Crysencio Summerville,Sam Greenwood,Ian Poveda-Ocampo,Dean Henderson,Harry Maguire,Victor Lindelöf,Luke Shaw,Aaron Wan-Bissaka,Marcus Rashford,Scott McTominay,Bruno Fernandes,Fred,Daniel James,Mason Greenwood,David de Gea,Axel Tuanzebe,Eric Bailly,Alex Telles,Juan Mata,Paul Pogba,Donny van de Beek,Nemanja Matic,Edinson Cavani,59219,Leeds United,Manchester United,0,0,4-1-4-1,4-2-3-1
Kasper Schmeichel,Wesley Fofana,Çaglar Söyüncü,Jonny Evans,Youri Tielemans,Wilfred Ndidi,Luke Thomas,Timothy Castagne,Kelechi Iheanacho,Jamie Vardy,James Maddison,Danny Ward,Ricardo Pereira,Daniel Amartey,Cengiz Ünder,Nampalys Mendy,Dennis Praet,Hamza Choudhury,Marc Albrighton,Ayoze Pérez,Vicente Guaita,Patrick van Aanholt,Joel Ward,Scott Dann,Cheikhou Kouyaté,Eberechi Eze,Jairo Riedewald,Luka Milivojevic,Wilfried Zaha,Jordan Ayew,Christian Benteke,Jack Butland,Martin Kelly,Tyrick Mitchell,Nathaniel Clyne,James McCarthy,Andros Townsend,Jeffrey Schlupp,Jean-Philippe Mateta,Michy Batshuayi,59220,Leicester City,Crystal Palace,2,1,3-4-1-2,4-3-3
Alisson,Fabinho,Ozan Kabak,Trent Alexander-Arnold,Andrew Robertson,Sadio Mané,Thiago,Mohamed Salah,Georginio Wijnaldum,Roberto Firmino,Diogo Jota,Adrián,Neco Williams,Rhys Williams,Konstantinos Tsimikas,Alex Oxlade-Chamberlain,Xherdan Shaqiri,James Milner,Naby Keïta,Curtis Jones,Martin Dúbravka,Paul Dummett,Matt Ritchie,Federico Fernández,Jacob Murphy,Ciaran Clark,Jonjo Shelvey,Sean Longstaff,Miguel Almirón,Allan Saint-Maximin,Joelinton,Mark Gillespie,Jamal Lewis,Emil Krafth,Javier Manquillo,Joseph Willock,Jeff Hendrick,Dwight Gayle,Andy Carroll,Callum Wilson,59221,Liverpool,Newcastle United,1,1,4-4-2,5-3-2
Ederson,Oleksandr Zinchenko,Aymeric Laporte,Kyle Walker,Rúben Dias,Fernandinho,Ilkay Gündogan,Kevin De Bruyne,Bernardo Silva,Riyad Mahrez,Phil Foden,Zack Steffen,Benjamin Mendy,John Stones,João Cancelo,Rodri,Sergio Agüero,Gabriel Jesus,Ferran Torres,Raheem Sterling,Alex McCarthy,Jannik Vestergaard,Jan Bednarek,Ryan Bertrand,Mohammed Salisu,James Ward-Prowse,Moussa Djenepo,Stuart Armstrong,Jack Stephens,Che Adams,Nathan Redmond,Fraser Forster,Kayne Ramsay,Kyle Walker-Peters,Nathan Tella,Ibrahima Diallo,Will Ferry,Caleb Watts,Daniel N'Lundulu,Takumi Minamino,59222,Manchester City,Southampton,5,2,4-3-3,4-4-2
Aaron Ramsdale,George Baldock,Kean Bryan,John Egan,Enda Stevens,John Fleck,Jayden Bogle,Oliver Norwood,Ben Osborn,David McGoldrick,Rhian Brewster,Wes Foderingham,Ethan Ampadu,Max Lowe,Kyron Gordon,Phil Jagielka,Zak Brunt,John Lundstram,Oliver Burke,Lys Mousset,Robert Sánchez,Adam Webster,Lewis Dunk,Joël Veltman,Pascal Groß,Yves Bissouma,Jakub Moder,Adam Lallana,Danny Welbeck,Leandro Trossard,Neal Maupay,Jason Steele,Dan Burn,Alexis Mac Allister,Davy Pröpper,Steven Alzate,Alireza Jahanbakhsh,Andi Zeqiri,Aaron Connolly,José Izquierdo,59223,Sheffield United,Brighton and Hove Albion,1,0,3-4-1-2,3-4-1-2
Lukasz Fabianski,Fabián Balbuena,Issa Diop,Angelo Ogbonna,Tomas Soucek,Ryan Fredericks,Mark Noble,Vladimir Coufal,Jarrod Bowen,Jesse Lingard,Pablo Fornals,Nathan Trott,Darren Randolph,Ben Johnson,Frederik Alves,Conor Coventry,Manuel Lanzini,Andriy Yarmolenko,Ademipo Odubeko,Saïd Benrahma,Édouard Mendy,Andreas Christensen,Thiago Silva,Antonio Rüdiger,N'Golo Kanté,César Azpilicueta,Jorginho,Ben Chilwell,Christian Pulisic,Timo Werner,Mason Mount,Kepa Arrizabalaga,Kurt Zouma,Reece James,Marcos Alonso,Hakim Ziyech,Billy Gilmour,Kai Havertz,Callum Hudson-Odoi,Tammy Abraham,59224,West Ham United,Chelsea,0,1,3-4-1-2,3-4-2-1
Rui Patrício,Conor Coady,Romain Saïss,Willy Boly,Leander Dendoncker,Nélson Semedo,Rúben Neves,Rayan Aït-Nouri,Daniel Podence,Willian José,Adama Traoré,John Ruddy,Ki-Jana Hoever,Maximilian Kilman,Lewis Richards,Morgan Gibbs-White,Vitinha,Owen Otasowie,Fábio Silva,Theo Corbeanu,Nick Pope,Ben Mee,Matthew Lowton,Charlie Taylor,James Tarkowski,Dwight McNeil,Jack Cork,Ashley Westwood,Josh Brownhill,Chris Wood,Matej Vydra,Bailey Peacock-Farrell,Will Norris,Erik Pieters,Phil Bardsley,Jimmy Dunne,Jóhann Gudmundsson,Dale Stephens,Jay Rodriguez,Ashley Barnes,59225,Wolverhampton Wanderers,Burnley,0,4,3-4-1-2,4-4-2
